claim_id,claim,source,source_type,status,evidence_boundary
V016-C01,"KiDS publishes a 21,262,011-row SOM-gold weak-lensing source catalogue and five tomographic n(z) files",https://kids.strw.leidenuniv.nl/DR4/KiDS-1000_shearcatalogue.php,primary_data_portal,SUPPORTED,"official release surface"
V016-C02,"KiDS-bright publishes aligned redshift and LePhare tables and defines masked==0 as the default selection",https://kids.strw.leidenuniv.nl/DR4/brightsample.php,primary_data_portal,SUPPORTED,"1,239,422 aligned IDs verified in v0.16"
V016-C03,"Public KiDS data products are reusable under CC BY 4.0 with required acknowledgements",https://kids.strw.leidenuniv.nl/acknowledgements.php,primary_policy,SUPPORTED,"upstream data only; DarkPipe code remains GPL-3.0-or-later"
V016-C04,"Mistele et al. report 106,843 lenses after masked/redshift/isolation/mass cuts",https://arxiv.org/pdf/2310.15248,primary_paper,SUPPORTED,"published target count; exactly reproduced by the final v0.16 native-GAAP successor run"
V016-C05,"The prescribed source cuts include SG_FLAG SG2DPHOT CLASS_STAR IMAFLAGS_ISO MASK and a lens-source redshift buffer",https://arxiv.org/pdf/2310.15248,primary_paper,SUPPORTED,"full-source streaming audit implemented"
V016-C06,"The exact spherical deprojection is an integral over DeltaSigma(R/sin(theta))",https://arxiv.org/pdf/2310.15248,primary_paper,SUPPORTED,"requires spherical symmetry and extrapolation beyond last measured radius"
V016-C07,"The parent isolation selection is limited by flux completeness and photometric-redshift error",https://arxiv.org/pdf/2106.11677,primary_paper,SUPPORTED,"about 80 percent isolation accuracy reported"
V016-C08,"The 17.7 GB source bytes are bound to 185 contiguous Drive ranges",../../../../KiDS_DRIVE_RANGE_CUSTODY_MANIFEST_2026-08-30.json,local_execution_evidence,SUPPORTED,"partition root; no Drive-native content hash and no linear whole-file SHA256"
V016-C09,"The first physically concurrent-distance reconstruction exactly reproduces 106843 lenses",../../evidence/kids_lens_sample_v016/run_receipt.json,local_execution_evidence,CONTRADICTED,"153879 observed; discrepancy preserved"
V016-C10,"Angular-diameter Cartesian geometry and an alternative H0 mass-cut convention bracket the target count",../../evidence/kids_isolation_scan_v016/run_receipt.json,local_execution_evidence,SUPPORTED,"diagnostic only; no target tuning or promotion"
V016-C11,"The published RAR implies eta between 0.76 and 2.17 dex",../../evidence/kids_rar_shadow_v016/run_receipt.json,local_execution_evidence,SUPPORTED,"published bin-level derived inobservable"
V016-C12,"The published RAR identifies a plasma hyperstate or another unique physical ontology",../../evidence/kids_rar_shadow_v016/run_receipt.json,local_execution_evidence,NOT_ESTIMABLE,"lensing-only acceleration discrepancy is model-nonidentifying"
V016-C13,"The full source cuts were executed over all 21262011 SOM-gold rows",../../evidence/kids_source_selection_v016/run_receipt.json,local_execution_evidence,SUPPORTED,"19109925 rows retain finite positive shape weight after all declared cuts"
V016-C14,"The effective critical density integrates lens photo-z uncertainty and the official five SOM n(z) distributions",../../evidence/kids_sigma_critical_v016/run_receipt.json,local_execution_evidence,SUPPORTED,"Mistele Eq. 10 numerical lookup; pair accumulation remains pending"
V016-C15,"The final native-GAAP successor run matched all 1239422 KiDS-bright rows and reproduced exactly 106843 lenses",../../evidence/kids_native_lens_v016_complete/run_receipt.json,local_execution_evidence,SUPPORTED,"official ESO TAP GAAP photometry; legacy angular-diameter Cartesian isolation geometry; delta zero; no reconstructed fallback"
V016-C16,"Exact lens-count reproduction is itself an object-level weak-lensing or plasma result",../../evidence/kids_native_lens_v016_complete/run_receipt.json,local_execution_evidence,CONTRADICTED,"selection gate only; full pair accumulation random subtraction cross-shear and covariance remain pending"
